 -422.57 -587.46 -683.70 -841.30 -595.51 -546.17 -549.91 -943.54-1023.99 -904.93
 1203.80 1205.77 1213.24 1231.38 1284.24 1322.74 1353.17 1398.06 1523.36 1731.93
 1919.51 2033.01 2061.05 2050.86 2032.38 2022.03 2017.84 2013.90 2005.09 1983.28
 1964.01 1945.70 1918.28 1893.76 1855.39 1776.75 1650.36 1474.44 1229.74  986.51
  925.27 1016.63 1004.41  910.95  860.08  840.81  806.48  737.15  654.36  602.91
  571.21  513.56  448.13  407.62  399.79  398.87  399.37  400.27  401.72  399.56
  377.06  350.05  331.01  316.94  320.75  351.67  444.80  429.02  402.77  563.12
  690.05  733.55  731.47  724.65  720.15  773.02  865.66  972.46 1077.70 1141.83
 1036.12 1076.53 1155.26 1216.17 1203.65 1187.59 1199.65 1124.69  916.84  862.62
 1070.93 1134.56 1132.22 1283.70 1518.91 1629.74 1692.08 1775.90 1930.96 2108.87
 2244.74 2350.97 2393.18 2571.36 2615.23 2621.73 2648.95 2654.81 2647.03 2637.70
 2631.84 2627.31 2621.93 2615.44 2610.70 2608.53 2608.91 2610.04 2610.95 2612.92
 2614.68 2613.07 2607.41 2601.94 2601.00 2599.37 2594.26 2579.83 2563.48 2552.45
 2542.67 2516.27 2490.22 2465.33 2444.58 2425.64 2400.80 2391.53 2371.97 2383.78
 2436.72 2501.35 2403.19 2409.43 2387.67 2383.09 2364.65 2349.00 2362.24 2386.24
 2411.02 2439.64 2455.85 2465.09 2472.48 2481.82 2493.90 2503.09 2510.45 2519.97
 2527.16 2529.33 2512.32 2505.88 2512.34 2511.82 2513.74 2501.38 2503.90 2498.62
 2470.57 2413.68 2335.89 2311.60 2241.99 2208.48 2161.64 2089.84 2043.86 2054.52
 2120.05 2132.31 2104.38 2030.60 1898.13 1781.79 1564.33 1382.01 1412.25 1309.35
 1003.07  737.91  823.74  784.21  660.08  716.15  798.60  789.42  795.97  805.42
  730.84  622.03  503.56  371.66  263.81  285.63  646.15  820.36  792.02  753.42
  749.74  729.00  711.65  752.54  779.01  797.45  827.45  849.45  904.14  893.56
  873.40  857.35  839.97  808.37  655.63  503.55  298.33  148.72  133.38  160.29
  282.76  428.42  446.28  445.38  433.11  391.38  303.17  147.81   90.46   67.01
   43.00   28.27    7.02   -9.05  -12.80  -10.02   -9.76  -79.01 -199.24 -482.62
 -302.91 -209.73 -165.25 -266.44 -274.14 -217.33  -88.48  -47.06  -35.73  -37.61
  -35.56  -47.40  -55.78 -119.62 -268.04 -332.11 -313.00 -502.33 -359.96 -264.87
 -317.63 -431.19 -644.77 -594.55 -246.13 -655.01 -448.23 -165.44 -139.55 -111.55
 -100.53  -93.68  -92.03  -64.43 -195.77 -239.61 -247.92 -181.02 -310.13 -214.00
 -247.64 -275.75 -490.69 -677.01 -320.59 -292.75 -288.36 -271.03 -304.00 -428.96
 -532.97 -795.85 -851.61-1079.76 -426.34 -628.02 -668.60 -314.51 -272.22  -89.26
    0.00 -135.85 -241.11   68.49  118.23  134.59  150.50  175.08  220.94  278.23
  344.45  414.79  496.52  584.12  687.19  774.70  821.89  875.78  935.16  978.38
  999.47 1044.85 1112.66 1164.28 1243.15 1348.08 1404.27 1466.98 1525.85 1571.15
 1594.64 1629.03 1660.84 1707.87 1736.69 1776.41 1822.79 1870.73 1890.76 1895.19
 1909.88 1923.68 1933.42 1918.62 1910.57 1934.72 1955.10 2024.62 2045.75 2101.22
 2141.05 2183.14 2240.38 2323.52 2405.26 2493.38 2613.46 2738.73 2841.14 2918.77
 3051.76 3169.19 3280.34 3447.63 3669.56 3884.79 4224.98 4606.98 4871.17 4828.00
 4818.63 4888.33 4926.87 4908.61 4945.16 5040.61 5222.46 5639.55 6028.23 6324.03
 6894.36 7365.88 7474.96 7364.06 7246.40 6897.86 6976.94 6995.32 6882.44 6674.76
 -395.63 -440.16 -600.31 -469.04 -960.22 -748.13 -730.63 -600.27 -581.15 -804.02
 -881.00 -987.98-1050.62 -571.67 -706.23 -949.35 -808.27 -482.53 -145.33  -28.01
   -1.26    4.77    1.98   -1.98   60.79   97.37  118.90  162.22  339.11  598.34
  839.24 1174.92 1392.67 1587.32 1702.87 1759.17 1820.98 1925.14 2001.44 1994.41
 1975.18 1959.83 1957.72 1979.97 2004.12 2027.46 2046.09 2030.93 1998.91 1918.93
 1917.41 2001.55 1998.53 1993.65 1976.97 1945.01 1919.27 1894.27 1946.77 1987.37
 1901.36 1829.97 1706.36 1556.83 1465.10 1412.59 1383.56 1350.13 1327.63 1299.80
 1264.03 1234.69 1226.38 1216.05 1150.20 1054.32  962.78  927.53 1003.28 1074.86
 1024.24  784.35  736.10  849.57 1064.17 1205.45 1271.44 1309.91 1352.94 1412.38
 1530.35 1722.10 2021.66 2391.96 2738.40 2792.16 2661.79 2565.40 2578.67 2731.74
 2952.33 3075.75 3126.82 3162.50 3195.51 3225.68 3250.92 3269.48 3284.45 3294.81
 3299.77 3299.19 3291.26 3276.87 3257.70 3234.89 3209.50 3180.45 3147.63 3110.83
 3062.94 3015.61 2980.53 2949.22 2931.65 2927.42 2934.25 2947.75 2962.11 2975.75
 2986.75 2994.05 2999.52 3002.10 3004.59 3005.00 3004.33 3002.24 3000.00 2996.32
 2991.89 2987.15 2983.78 2982.43 2981.99 2983.96 2986.53 2990.41 2995.48 3000.99
 3006.82 3013.87 3020.46 3027.67 3035.89 3043.11 3050.33 3057.54 3062.78 3068.00
 3072.45 3075.23 3076.78 3076.33 3074.45 3070.97 3066.38 3061.42 3056.64 3052.03
 3048.09 3044.85 3042.42 3040.29 3038.56 3038.00 3037.00 3035.42 3031.71 3026.50
 3021.75 3017.04 3011.39 3005.25 2995.43 2980.65 2968.36 2963.21 2961.08 2953.72
 2931.15 2877.52 2787.54 2585.91 2354.32 2241.45 2153.84 2037.19 1903.62 1731.95
 1548.24 1388.38 1360.38 1373.89 1382.87 1387.49 1322.64 1138.57 1013.16  986.80
  994.88  976.49  998.22 1185.81 1349.27 1473.24 1589.38 1644.78 1705.82 1846.70
 1969.94 2026.32 2033.39 2014.34 1994.06 1991.38 1987.18 1982.40 1977.08 1955.85
 1928.94 1893.47 1859.60 1808.93 1699.86 1568.68 1379.27 1146.97  919.54  765.41
  739.12  805.32  848.07  768.06  723.86  747.81  761.77  684.52  615.05  615.93
  586.17  543.47  474.54  410.38  393.85  389.40  387.17  390.74  400.99  399.13
  377.83  361.53  361.22  364.54  389.88  466.30  585.03  468.00  456.51  699.85
  848.32  894.88  832.26  749.00  767.68  869.62 1035.37 1131.85 1206.57 1225.85
 1163.36 1198.08 1249.64 1311.91 1327.04 1320.90 1328.77 1271.09 1163.26 1162.75
 1308.22 1424.80 1450.49 1534.14 1633.24 1674.49 1704.15 1763.86 1865.17 1987.13
 2154.82 2317.15 2437.05 2617.64 2636.48 2634.54 2653.36 2656.67 2649.90 2640.78
 2633.88 2627.36 2620.62 2613.87 2607.33 2603.15 2602.50 2602.85 2602.68 2604.18
 2609.40 2608.76 2605.07 2601.00 2599.26 2595.32 2586.84 2571.85 2557.29 2545.98
 2536.55 2518.44 2490.98 2468.61 2433.29 2418.88 2403.81 2388.52 2373.75 2388.25
 2503.40 2436.04 2386.12 2372.65 2360.27 2353.23 2355.95 2353.70 2361.23 2384.86
 2406.10 2434.64 2447.52 2455.69 2462.87 2471.31 2480.05 2488.50 2495.46 2502.91
 2507.63 2508.44 2504.50 2497.37 2499.77 2498.58 2497.21 2504.46 2490.95 2474.45
 2451.96 2393.01 2342.10 2301.36 2231.91 2171.96 2126.47 2023.24 1970.79 1961.08
 2012.18 1977.21 1958.80 1904.54 1817.22 1747.17 1508.27 1332.22 1315.33 1238.03
  993.31  851.44  845.46  701.18  598.17  700.48  817.70  749.27  761.58  765.05
  684.08  573.01  444.88  346.15  232.17  281.92  667.41  780.45  755.20  744.25
  730.21  701.57  690.42  717.27  750.91  792.60  831.59  851.02  878.82  907.48
  889.29  870.36  861.25  809.47  635.19  450.16  231.21  134.10  135.90  179.54
  376.36  422.99  442.22  438.42  420.81  371.44  276.46  124.86   79.54   54.79
   31.70   15.78  -16.23  -12.97 -144.59  -78.93   -8.62  -87.35 -178.32  -95.31
 -259.01 -183.58 -116.81 -281.91 -356.35 -225.47  -77.55  -86.14  -41.12  -42.73
  -44.02  -50.78  -56.70 -110.19 -345.07 -232.78 -235.96 -607.64 -433.37 -310.89
 -286.72 -297.69 -373.75 -686.59 -578.63 -389.26 -182.59 -136.19 -115.43  -98.98
  -87.30  -89.28  -84.66  -60.25 -114.10 -230.55 -261.12 -271.54 -381.23 -231.26
 -422.02 -256.69 -342.74 -295.57 -365.00 -403.93 -687.56 -311.02 -309.79 -412.96
 -586.93-1000.54 -849.64 -960.56-1013.90 -625.14 -375.99 -533.48 -259.61  -96.51
   30.51   33.36   79.91   24.59  123.97  138.24  152.93  184.74  230.90  288.49
  353.96  426.28  538.96  621.39  724.53  800.12  841.19  911.20  983.99 1003.69
 1041.64 1100.26 1166.91 1226.02 1308.97 1374.25 1419.33 1472.70 1524.76 1562.94
 1595.38 1628.16 1663.01 1704.85 1734.12 1768.61 1805.17 1831.93 1879.40 1906.07
 1928.51 1936.62 1948.20 1933.32 1927.43 1966.50 2005.12 2039.18 2105.32 2167.40
 2224.48 2259.83 2318.79 2394.59 2471.19 2552.16 2645.90 2742.10 2850.07 2942.84
 3095.41 3237.03 3375.76 3576.72 3793.92 3981.08 4314.04 4722.87 4880.26 4879.17
 4817.20 4886.58 4962.17 4972.06 5065.02 5160.83 5363.02 5692.61 6137.47 6472.04
 6818.83 7271.85 7479.04 7314.71 7229.77 6897.31 7025.61 6947.90 6867.76 6725.18
 -390.24 -460.26 -529.73 -540.32 -784.68 -928.09 -892.70 -652.50 -586.75 -679.63
 -733.20 -818.25 -658.58 -693.92 -893.62 -676.33 -789.30 -929.69 -557.49 -269.27
   -5.15  -33.63  -27.65    2.40   35.57   72.75   96.12  141.70  338.53  783.28
 1070.04 1292.16 1468.97 1633.05 1727.79 1767.40 1822.79 1949.17 2005.92 1997.43
 1991.18 1984.74 1983.98 1998.32 2018.83 2035.94 2052.14 2031.45 1974.59 1821.85
 1818.12 2002.53 1999.70 1994.29 1982.40 1951.83 1909.58 1891.21 1862.95 1867.95
 1851.87 1830.87 1736.73 1589.70 1439.12 1366.58 1311.99 1272.30 1263.55 1255.36
 1247.18 1235.45 1215.64 1222.60 1285.51 1298.70 1242.74 1195.97 1212.38 1202.56
 1052.64  796.86  740.97  878.71 1123.21 1249.41 1303.06 1327.14 1357.35 1407.00
 1543.85 1739.66 2011.45 2379.84 2699.62 2837.28 2843.92 2805.43 2778.20 2844.70
