 1582.71 1593.90 1600.06 1603.79 1607.52 1609.77 1611.40 1612.75 1613.58 1614.03
 1614.03 1614.02 1613.89 1613.55 1613.81 1614.27 1614.95 1617.19 1618.93 1619.95
 1622.29 1625.49 1629.60 1635.03 1640.46 1645.87 1650.96 1656.26 1661.27 1663.31
 1666.69 1670.77 1674.85 1679.67 1685.30 1692.77 1701.23 1709.32 1715.43 1722.07
 1727.98 1732.06 1735.04 1737.77 1740.50 1741.79 1743.98 1747.73 1750.57 1754.12
 1758.64 1764.43 1770.93 1778.08 1787.54 1797.25 1806.55 1813.34 1820.13 1826.85
 1832.29 1840.71 1850.26 1859.08 1873.33 1888.01 1899.88 1913.06 1925.33 1935.83
 1942.13 1947.62 1953.37 1953.18 1953.26 1954.28 1954.03 1952.38 1947.65 1950.85
 1953.80 1955.97 1962.43 1969.65 1977.90 1983.33 1988.23 1992.52 1993.54 1996.29
 1999.06 2000.43 2002.14 2004.34 2007.06 2008.14 2009.82 2013.21 2016.26 2019.76
 2024.17 2027.77 2031.47 2036.22 2040.54 2045.06 2049.94 2054.02 2058.09 2062.17
 2066.98 2071.00 2074.05 2076.86 2080.36 2084.43 2088.51 2092.37 2095.47 2097.84
 2101.59 2105.64 2109.37 2113.10 2116.82 2120.55 2123.22 2124.92 2126.27 2129.02
 2132.07 2134.78 2137.79 2140.83 2143.88 2144.72 2145.41 2146.42 2150.41 2154.16
 2157.87 2160.91 2163.95 2166.73 2166.38 2165.98 2165.60 2167.33 2169.35 2171.92
 2177.06 2182.48 2187.52 2191.24 2194.71 2196.95 2198.07 2199.43 2201.35 2204.40
 2208.23 2212.62 2214.88 2216.56 2219.25 2223.30 2227.09 2230.79 2234.65 2238.37
 2242.44 2246.83 2251.38 2256.31 2260.90 2265.29 2269.25 2272.43 2275.46 2277.80
 2280.67 2283.70 2285.99 2288.01 2289.62 2290.97 2292.97 2294.99 2297.03 2299.39
 2301.76 2305.01 2308.39 2311.54 2315.08 2319.49 2323.89 2327.89 2331.61 2335.31
 2337.50 2338.50 2339.76 2344.15 2348.55 2352.48 2356.88 2361.27 2365.15 2367.85
 2370.56 2373.19 2375.16 2376.84 2378.62 2380.64 2382.66 2385.23 2388.95 2392.67
 2394.47 2394.66 2395.00 2397.06 2401.46 2405.84 2408.27 2409.95 2411.65 2414.95
 2419.70 2424.51 2427.80 2429.50 2431.16 2431.51 2431.52 2431.52 2433.58 2436.64
 2194.43 2199.64 2202.69 2205.86 2209.58 2213.31 2218.76 2224.05 2228.80 2233.63
 2238.72 2243.83 2248.61 2252.00 2255.47 2258.29 2259.17 2260.19 2261.07 2261.74
 2262.05 2262.78 2265.49 2267.66 2267.81 2267.73 2267.73 2263.69 2258.52 2253.78
 2233.53 2207.26 2181.50 2134.23 2076.27 2015.80 1949.25 1881.46 1813.50 1747.46
 1682.05 1617.01 1553.46 1491.10 1428.73 1376.97 1326.81 1278.41 1254.16 1223.32
